Totals:,,,DUPLICATES,,,,ORDERED,PRODUCED
Total Ordered,50,,,,,,1C4JJXP60MW850122,1C4JJXP60MW850122
Total Produced:,50,,,,,,1C4JJXP69NW178255,3GCPYBEH2LG248025
Total New:,36,,,,,,1C4PJMCS0FW668550,1FATP8UH8J5139276
Total Used:,14,,,,,,1C4RJFAG0LC383671,1C6SRFFT6MN678884
,,,,,,,1C4RJFCG0EC181557,1C4JJXP69NW178255
Used Duplicates:,0,,,,,,1C4RJHAG7SC339130,1FADP3K28FL385236
New Duplicates,0,,,,,,1C4RJHAG9SC339131,1C4RJHBG9RC189322
Duplicates:,0,,,,,,1C4RJHAGXSC341888,1C4RJFCG0EC181557
,,,,,,,1C4RJHBG2SC344069,1C4PJMCS0FW668550
,,,,,,,1C4RJHBG3S8723181,5J8TC2H71LL000823
,,,,,,,1C4RJHBG9RC189322,1C6SRFFTXMN648125
,,,,,,,1C4RJKAG3S8722207,1C4RJFAG0LC383671
,,,,,,,1C4RJKAG5S8723178,3FAHP0JG8BR183280
,,,,,,,1C4RJKAG5S8739297,1C4SDJGJ6MC548848
,,,,,,,1C4RJKAG6S8724565,1C4RJKBGXS8727905
,,,,,,,1C4RJKBG0S8727878,1C6SRFFPXTN171374
,,,,,,,1C4RJKBG1S8727906,1C4RJKBG0S8727878
,,,,,,,1C4RJKBG3S8727874,1C4RJKBGXS8727869
,,,,,,,1C4RJKBG3S8727907,1C4RJKAG3S8722207
,,,,,,,1C4RJKBG5S8727875,3C63R5DL2SG558152
,,,,,,,1C4RJKBG7S8727876,1C4RJHAG9SC339131
,,,,,,,1C4RJKBG8S8727904,1C4RJHAG7SC339130
,,,,,,,1C4RJKBGXS8727869,1C6RJTEG8SL544086
,,,,,,,1C4RJKBGXS8727905,2C4RC1BG7TR154214
,,,,,,,1C4RJXFNXSW648364,1C4RJKBG3S8727874
,,,,,,,1C4SDJGJ6MC548848,2C4RC1BGXTR158399
,,,,,,,1C6PJTAG9SL543123,2C4RC3GG4TR159469
,,,,,,,1C6RJTEG8SL544086,1C4RJHBG3S8723181
,,,,,,,1C6SRFFPXTN171374,1C4RJKBG8S8727904
,,,,,,,1C6SRFFT6MN678884,1C4RJKBG7S8727876
,,,,,,,1C6SRFFTXMN648125,1C6SRFLP1TN171879
,,,,,,,1C6SRFJP3TN168680,1C4RJKAG6S8724565
,,,,,,,1C6SRFJP6TN161755,3C63R5DLXTG173651
,,,,,,,1C6SRFLP1TN171879,1C4RJHBG2SC344069
,,,,,,,1C6SRFLP1TN175530,1C6PJTAG9SL543123
,,,,,,,1FADP3K28FL385236,2C4RC1BG2TR154220
,,,,,,,1FATP8UH8J5139276,1C6SRFJP3TN168680
,,,,,,,2C4RC1BG2TR154220,2C4RC1BG9TR154215
,,,,,,,2C4RC1BG4TR154218,1C4RJKBG3S8727907
,,,,,,,2C4RC1BG7TR154214,1C4RJKBG5S8727875
,,,,,,,2C4RC1BG9TR154215,1C4RJKAG5S8723178
,,,,,,,2C4RC1BGXTR158399,2C4RC1BG4TR154218
,,,,,,,2C4RC3GG4TR159469,1C6SRFJP6TN161755
,,,,,,,3C63R5DL2SG558152,1C4RJXFNXSW648364
,,,,,,,3C63R5DLXTG173651,1C4RJKAG5S8739297
,,,,,,,3C63R5FL9TG152402,3C63R5FL9TG152402
,,,,,,,3C6UR5DJ2TG158449,1C4RJKBG1S8727906
,,,,,,,3FAHP0JG8BR183280,1C6SRFLP1TN175530
,,,,,,,3GCPYBEH2LG248025,3C6UR5DJ2TG158449
,,,,,,,5J8TC2H71LL000823,1C4RJHAGXSC341888
