YEARMAKE,MODEL,TRIM,STOCK,VIN,@QR,QRYEARMODEL,QRSTOCK,@QR2,MISC
2025 Mazda,Mazda CX-70 PHEV,Premium Plus Package,2025 Mazda CX-70 PHEV - 19459A,CERTIFIED - JM3KJEHA5S1100776,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_26.PNG,2025 Mazda CX-70 PHEV - 19459A,CERTIFIED - JM3KJEHA5S1100776,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_26.PNG,2025 Mazda CX-70 PHEV - 19459A - CERTIFIED - JM3KJEHA5S1100776
2025 Mazda,Mazda CX-70,3.3 Turbo Premium Plus,2025 Mazda CX-70 - P6177,USED - JM3KJEHD7S1116584,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_27.PNG,2025 Mazda CX-70 - P6177,USED - JM3KJEHD7S1116584,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_27.PNG,2025 Mazda CX-70 - P6177 - USED - JM3KJEHD7S1116584
2024 Audi,Q5,S line Premium,2024 Q5 - 340398L,USED - WA1GAAFY7R2051022,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_28.PNG,2024 Q5 - 340398L,USED - WA1GAAFY7R2051022,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_28.PNG,2024 Q5 - 340398L - USED - WA1GAAFY7R2051022
2024 Audi,Q5,S line Premium,2024 Q5 - 340468L,USED - WA1GAAFY5R2106177,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_29.PNG,2024 Q5 - 340468L,USED - WA1GAAFY5R2106177,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_29.PNG,2024 Q5 - 340468L - USED - WA1GAAFY5R2106177
2021 Audi,RS 7,4.0 TFSI quattro,2021 RS 7 - 350248A,USED - WUAPCBF22MN903840,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_30.PNG,2021 RS 7 - 350248A,USED - WUAPCBF22MN903840,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_30.PNG,2021 RS 7 - 350248A - USED - WUAPCBF22MN903840
2024 Audi,Q5,S line Premium,2024 Q5 - 340398L,USED - WA1GAAFY7R2051022,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_31.PNG,2024 Q5 - 340398L,USED - WA1GAAFY7R2051022,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_31.PNG,2024 Q5 - 340398L - USED - WA1GAAFY7R2051022
2025 Mazda,Mazda CX-70,3.3 Turbo Premium Plus,2025 Mazda CX-70 - P6177,USED - JM3KJEHD7S1116584,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_32.PNG,2025 Mazda CX-70 - P6177,USED - JM3KJEHD7S1116584,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_32.PNG,2025 Mazda CX-70 - P6177 - USED - JM3KJEHD7S1116584
2025 Mazda,Mazda CX-70 PHEV,Premium Plus Package,2025 Mazda CX-70 PHEV - 19459A,CERTIFIED - JM3KJEHA5S1100776,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_33.PNG,2025 Mazda CX-70 PHEV - 19459A,CERTIFIED - JM3KJEHA5S1100776,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_33.PNG,2025 Mazda CX-70 PHEV - 19459A - CERTIFIED - JM3KJEHA5S1100776
2025 Mazda,Mazda CX-70 PHEV,Premium Plus Package,2025 Mazda CX-70 PHEV - 19459A,USED - JM3KJEHA5S1100776,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_34.PNG,2025 Mazda CX-70 PHEV - 19459A,USED - JM3KJEHA5S1100776,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_34.PNG,2025 Mazda CX-70 PHEV - 19459A - USED - JM3KJEHA5S1100776
2024 Audi,Q3,S line Premium,2024 Q3 - 340369L,CERTIFIED - WA1DECF34R1040590,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_35.PNG,2024 Q3 - 340369L,CERTIFIED - WA1DECF34R1040590,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_35.PNG,2024 Q3 - 340369L - CERTIFIED - WA1DECF34R1040590
2025 Mazda,Mazda CX-70 PHEV,Premium Plus Package,2025 Mazda CX-70 PHEV - 19459A,USED - JM3KJEHA5S1100776,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_36.PNG,2025 Mazda CX-70 PHEV - 19459A,USED - JM3KJEHA5S1100776,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_36.PNG,2025 Mazda CX-70 PHEV - 19459A - USED - JM3KJEHA5S1100776
2024 Audi,Q3,S line Premium,2024 Q3 - 340369L,CERTIFIED - WA1DECF34R1040590,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_37.PNG,2024 Q3 - 340369L,CERTIFIED - WA1DECF34R1040590,orders\Bommarito_West_County\20250811_151521\qr_codes\Bommarito_West_County_QR_Code_37.PNG,2024 Q3 - 340369L - CERTIFIED - WA1DECF34R1040590
